Dates,L452 share of new confirmed cases in Tokyo
2021-05-03,0.8264463
2021-05-10,1.9417476
2021-05-17,5.7553957
2021-05-24,0.8064516
2021-05-31,4.8543689
2021-06-07,3.1936128
2021-06-14,8.3773087
2021-06-21,14.7457627
2021-06-28,21.489726
2021-07-05,30.622950799999998
2021-07-12,46.1611374
2021-07-19,64.5983477
2021-07-26,81.6719732
2021-08-02,89.0434552
2021-08-09,91.822558
2021-08-16,94.1526085
2021-08-23,93.7837648
2021-08-30,93.438914
2021-09-06,92.7395716
2021-09-13,90.48662870000001
2021-09-20,88.7533875
2021-09-27,83.5968379
2021-10-04,84.26573429999999
2021-10-11,79.82456140000001
2021-10-18,70.58823530000001
2021-10-25,76
2021-11-01,80
