Prefectures,Populations
Hokkaido,5250
Aomori,1246
Iwate,1227
Akita,966
Miyagi,2306
Yamagata,1078
Fukushima,1846
Ibaraki,2860
Tochigi,1934
Saitama,7350
Chiba,6259
Tokyo,13921
Niigata,2223
Gunma,1942
Nagano,2049
Yamanashi,811
Kanagawa,9198
Shizuoka,3644
Toyama,1044
Gifu,1987.0000000000002
Aichi,7552
Ishikawa,1138
Fukui,768
Shiga,1414
Mie,1781
Nara,1330
Wakayama,925
Osaka,8809
Kyoto,2583
Hyogo,5466
Tottori,556
Okayama,1890
Shimane,674
Hiroshima,2804
Yamaguchi,1358
Kagawa,956
Ehime,1339
Tokushima,728
Kochi,698
Fukuoka,5104
Oita,1135
Miyazaki,1073
Saga,815
Kumamoto,1748
Kagoshima,1602
Nagasaki,1327
Okinawa,1453
